model	secs_taken	Score_False	Score_True	num_runs	success_rate	failure_rate	mean_score	variance	trace_id
gpt-4.1-nano	5.8	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-001_20260224_223201
gpt-4o	6.4	1	4	5	0.8	0.2	0.8	0.16000000000000003	two_agent_sequence_EVAL-001_20260224_223201
gpt-4.1	8.1	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-001_20260224_223201
gpt-5.1	8.4	5	0	5	0.0	1.0	0.0	0.0	two_agent_sequence_EVAL-001_20260224_223201
gpt-4.1-mini	8.5	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-001_20260224_223201
o4-mini	23.2	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-001_20260224_223201
gpt-5	33.5	4	1	5	0.2	0.8	0.2	0.16000000000000003	two_agent_sequence_EVAL-001_20260224_223201
gpt-4.1-nano	6.2	1	4	5	0.8	0.2	0.8	0.16000000000000003	bad_multiple_speakers_SRC-001_20260224_224148
gpt-4o	7.1	5	0	5	0.0	1.0	0.0	0.0	bad_multiple_speakers_SRC-001_20260224_224148
gpt-4.1	8.1	5	0	5	0.0	1.0	0.0	0.0	bad_multiple_speakers_SRC-001_20260224_224148
gpt-4.1-mini	8.5	4	1	5	0.2	0.8	0.2	0.16000000000000003	bad_multiple_speakers_SRC-001_20260224_224148
gpt-5.1	10.1	5	0	5	0.0	1.0	0.0	0.0	bad_multiple_speakers_SRC-001_20260224_224148
o4-mini	33.8	5	0	5	0.0	1.0	0.0	0.0	bad_multiple_speakers_SRC-001_20260224_224148
gpt-5	48.9	5	0	5	0.0	1.0	0.0	0.0	bad_multiple_speakers_SRC-001_20260224_224148
gpt-4.1-nano	7.6	0	5	5	1.0	0.0	1.0	0.0	checkpoint_enabled_SRC-001_20260225_120527
gpt-4.1-mini	7.6	0	5	5	1.0	0.0	1.0	0.0	checkpoint_enabled_SRC-001_20260225_120527
gpt-4.1	9.6	0	5	5	1.0	0.0	1.0	0.0	checkpoint_enabled_SRC-001_20260225_120527
gpt-5.1	12.5	5	0	5	0.0	1.0	0.0	0.0	checkpoint_enabled_SRC-001_20260225_120527
gpt-5	60.0	5	0	5	0.0	1.0	0.0	0.0	checkpoint_enabled_SRC-001_20260225_120527
o4-mini	62.8	3	2	5	0.4	0.6	0.4	0.24	checkpoint_enabled_SRC-001_20260225_120527
gpt-4o	66.4	0	5	5	1.0	0.0	1.0	0.0	checkpoint_enabled_SRC-001_20260225_120527
gpt-4.1-nano	5.6	0	5	5	1.0	0.0	1.0	0.0	function_based_random_selector_SRC-001_20260224_224743
gpt-4o	6.3	5	0	5	0.0	1.0	0.0	0.0	function_based_random_selector_SRC-001_20260224_224743
gpt-4.1-mini	6.4	0	5	5	1.0	0.0	1.0	0.0	function_based_random_selector_SRC-001_20260224_224743
gpt-4.1	6.8	5	0	5	0.0	1.0	0.0	0.0	function_based_random_selector_SRC-001_20260224_224743
gpt-5.1	9.8	5	0	5	0.0	1.0	0.0	0.0	function_based_random_selector_SRC-001_20260224_224743
o4-mini	38.2	5	0	5	0.0	1.0	0.0	0.0	function_based_random_selector_SRC-001_20260224_224743
gpt-5	40.9	5	0	5	0.0	1.0	0.0	0.0	function_based_random_selector_SRC-001_20260224_224743
gpt-4.1-nano	5.4	0	5	5	1.0	0.0	1.0	0.0	max_messages_termination_HITL-001_20260224_225518
gpt-4o	7.5	5	0	5	0.0	1.0	0.0	0.0	max_messages_termination_HITL-001_20260224_225518
gpt-4.1	7.8	4	1	5	0.2	0.8	0.2	0.16000000000000003	max_messages_termination_HITL-001_20260224_225518
gpt-4.1-mini	10.4	0	5	5	1.0	0.0	1.0	0.0	max_messages_termination_HITL-001_20260224_225518
gpt-5.1	10.9	5	0	5	0.0	1.0	0.0	0.0	max_messages_termination_HITL-001_20260224_225518
o4-mini	30.3	5	0	5	0.0	1.0	0.0	0.0	max_messages_termination_HITL-001_20260224_225518
gpt-5	46.8	5	0	5	0.0	1.0	0.0	0.0	max_messages_termination_HITL-001_20260224_225518
gpt-4.1-nano	7.4	3	2	5	0.4	0.6	0.4	0.24	bad_ledger_ignores_output_SRC-001_20260224_230143
gpt-4.1-mini	10.0	0	5	5	1.0	0.0	1.0	0.0	bad_ledger_ignores_output_SRC-001_20260224_230143
gpt-5.1	13.4	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_ignores_output_SRC-001_20260224_230143
gpt-4.1	21.5	3	2	5	0.4	0.6	0.4	0.24	bad_ledger_ignores_output_SRC-001_20260224_230143
gpt-5	44.3	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_ignores_output_SRC-001_20260224_230143
o4-mini	45.7	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_ignores_output_SRC-001_20260224_230143
gpt-4o	68.7	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_ignores_output_SRC-001_20260224_230143
gpt-4.1-nano	6.7	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_infinite_loop_SRC-001_20260224_231504
gpt-4.1-mini	9.8	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_infinite_loop_SRC-001_20260224_231504
gpt-4.1	10.0	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_infinite_loop_SRC-001_20260224_231504
gpt-5.1	13.3	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_infinite_loop_SRC-001_20260224_231504
gpt-4o	14.4	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_infinite_loop_SRC-001_20260224_231504
o4-mini	29.5	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_infinite_loop_SRC-001_20260224_231504
gpt-5	45.5	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_infinite_loop_SRC-001_20260224_231504
gpt-4.1-nano	5.9	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SRC-001_20260224_232007
gpt-4.1-mini	9.2	4	1	5	0.2	0.8	0.2	0.16000000000000003	bad_ledger_wrong_agent_SRC-001_20260224_232007
gpt-5.1	11.7	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SRC-001_20260224_232007
gpt-4.1	23.2	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SRC-001_20260224_232007
gpt-5	29.9	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SRC-001_20260224_232007
